Designator,Mid X,Mid Y,Rotation,Layer
U1_JU3,194.816,-99.114,180.0,top
U1_JU4,203.452,-99.114,180.0,top
U1_SI5351AB1,166.0355,-192.008,270.0,top
U1_TD1,144.272,-125.984,270.0,top
U1_TDV1,144.272,-153.416,270.0,top
U2,202.184,-191.264,270.0,top
U20,209.804,-191.26,270.0,top
U21,214.884,-191.264,270.0,top
U22,216.152,-204.216,0.0,top
U23,208.536,-204.216,180.0,top
U24,212.202,-201.424,90.0,top
U25,212.344,-186.692,90.0,top
U26,179.068,-139.138,180.0,top
U27,179.068,-144.272,180.0,top
U28,179.068,-149.352,180.0,top
U29,182.88,-152.4,270.0,top
U2_JU1,181.104,-99.114,0.0,top
U2_JU2,189.74,-99.114,0.0,top
U2_JU3,198.376,-99.114,0.0,top
U2_JU4,207.012,-99.114,0.0,top
U2_TD1,132.969,-129.54,0.0,top
U2_TDV1,132.969,-156.972,0.0,top
U3,155.266923,-85.116162,0.0,top
U30,195.836,-137.16,180.0,top
U31,195.836,-142.24,180.0,top
U32,195.836,-147.32,180.0,top
U33,195.836,-152.4,180.0,top
U34,203.964,-137.214,0.0,top
U35,203.964,-142.294,0.0,top
U36,203.964,-147.374,0.0,top
U37,203.964,-152.454,0.0,top
U38,208.028,-161.998,180.0,top
U39,208.024,-166.624,180.0,top
U3_JU1,177.544,-104.194,180.0,top
U3_JU2,186.18,-104.194,180.0,top
U3_JU3,194.816,-104.194,180.0,top
U3_JU4,203.452,-104.194,180.0,top
U4,143.96499,-89.984938,315.0,top
U40,208.028,-171.196,180.0,top
U41,208.028,-175.768,180.0,top
U42,195.328,-161.998,180.0,top
U43,195.324,-166.624,180.0,top
U44,195.328,-171.196,180.0,top
U45,195.328,-175.768,180.0,top
U46,198.12,-216.916,0.0,top
U47,177.8,-123.444,180.0,top
U48,185.928,-123.444,0.0,top
U49,177.8,-130.556,180.0,top
U4_JU1,181.104,-104.194,0.0,top
U4_JU2,189.74,-104.194,0.0,top
U4_JU3,198.376,-104.194,0.0,top
U4_JU4,207.012,-104.194,0.0,top
U5,158.520588,-87.601856,90.0,top
U50,185.928,-130.556,0.0,top
U51,178.564,-185.42,180.0,top
U52,186.184,-185.474,0.0,top
U53,178.052,-195.526,180.0,top
U54,188.216,-196.65,0.0,top
U55,191.516,-123.444,180.0,top
U56,191.516,-130.556,180.0,top
U57,198.628,-123.444,0.0,top
U58,198.628,-130.556,0.0,top
U59,178.056,-159.004,180.0,top
U6,105.935883,-117.567593,0.0,top
U60,186.184,-159.058,0.0,top
U61,178.056,-164.084,180.0,top
U62,186.184,-164.138,0.0,top
U63,178.056,-169.164,180.0,top
U64,186.184,-169.218,0.0,top
U65,178.056,-174.244,180.0,top
U66,186.184,-174.298,0.0,top
U67,196.65,-220.728,270.0,top
U68,193.804,-215.9,180.0,top
U69,202.436,-215.9,0.0,top
U7,178.807999,-83.82,180.0,top
U70,187.704,-206.756,0.0,top
U71,180.144,-208.026,90.0,top
U72,173.228,-218.184,270.0,top
U73,174.244,-209.296,0.0,top
U74,164.34,-206.756,180.0,top
U75,168.46,-208.026,270.0,top
U76,174.244,-214.064,0.0,top
U77,154.176,-208.788,0.0,top
U78,144.272,-133.348,270.0,top
U79,146.304,-119.636,90.0,top
U8,203.208,-83.82,0.0,top
U80,139.7,-209.804,0.0,top
U81,139.192,-223.264,270.0,top
U82,141.732,-119.636,90.0,top
U83,125.224,-208.788,180.0,top
U84,124.968,-127.764,90.0,top
U85,124.968,-135.38,270.0,top
U86,146.304,-147.068,90.0,top
U87,141.732,-147.068,90.0,top
U88,144.272,-160.78,270.0,top
U89,124.968,-155.196,90.0,top
U9,178.962891,-90.150112,180.0,top
U90,124.968,-162.812,270.0,top
U91,204.472,-129.54,180.0,top
U92,210.564,-129.54,0.0,top
U93,204.472,-124.46,180.0,top
U94,210.564,-124.46,0.0,top
U95,209.04,-86.868,180.0,top
U96,215.132,-86.868,0.0,top
U97,146.56,-177.8,180.0,top
U98,156.208,-177.8,0.0,top
U99,209.04,-91.948,180.0,top
X1,147.828,-209.296,90.0,top
X1_SI5351AB1,160.02,-191.516,45.0,top
X2,139.7,-216.916,180.0,top
X3,131.572,-209.296,90.0,top
Y1,154.6149,-108.196724,0.0,top
